id,position,goal,steps,moves,distance,mate,forcing,nonforcing,winning,threat_ignored,threat_at_line_end,quiet,blocks,decisive_steps,root_pieces
fe683ee34a96,d00011214003d:21c80a99282,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
3430437393fb,2001199121901:800198020401c41a,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
777ac4edc7d9,1081010021016129:1005081d08090c0,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
4c7c8a1d1b96,1800884aa2548:80080401210190b3,win,3,5,7,mate in 4,1,2,1,1,0,0,0,3,28
069324c7ce01,3054089c34:800088035620b,win,3,5,5,mate in 3,2,1,1,0,0,0,1,2,26
b89d38fdb912,100908108840904a:900910190a91,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
4af160958e2a,1089808082809602:8000120b140b0089,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
bfcd655a8cd7,100d060144418044:400100c120c5609,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
48a350a7ecd8,a000a63038205:8000c004900c710a,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,28
2cfab372c880,c40005407c084:c000800c80083c0b,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
585418b07855,102088509841c:408051102101381,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
5808b61e4e46,10208850d841c:418051102101381,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
1b8d6036a984,19009c0088056:9008000210435909,win,4,7,7,mate in 4,3,1,1,0,0,0,0,4,27
9771f1d5808a,1481310b211:1090001a0494148,win,5,9,17,mate in 9,1,4,1,0,0,3,3,2,26
291538ff3f56,100a10221972:100a002000cd808d,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
030f93221d94,9100c4408a452:100000013007590d,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
68e954dbe3a9,982009001ab02:800000090a0c14ad,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
473fe544d363,2902090120848b:2096093b24,win,10,19,31,mate in 16,3,7,1,0,0,6,6,4,28
a96843bed76f,108105c10005051:10040100017c812c,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
d3ce569b07bb,104421140950a:90409001840b0041,win,4,7,7,mate in 4,3,1,1,0,0,0,1,3,26
13eba9909833,2010881183140c:10800120042c81a3,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
dea187d2a5fc,2280208c0085a01:d000d02012218028,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
861be2dd8e5f,180908010081c940:104898581099,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
8557770ac2b8,9010c0084018298:11109981d01,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
68139efef430,9010c0086018298:10011109981d01,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
2d96e39f78f6,11b80982083:10100800103d11c,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
893b9fe32694,11bc0982083:10180800103d11c,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
0850109fae8a,108004093942e:44918c204891,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
bd8546b8dc1b,1009b00401849101:20000109b009209c,win,3,5,5,mate in 3,2,1,1,0,0,0,2,1,28
3776f4c6e35f,18010800808a1c28:10231c218083,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
93488be32af9,19009a2408610:9008000014097149,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
18d8ad99943f,102a10224a19:100800008819b522,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,27
1cfb15eeb27c,904908000943c:900914990083,win,3,5,5,mate in 3,2,1,1,0,0,0,1,2,26
4244214c19da,110209030c18c:11901091a31,win,4,7,7,mate in 4,3,1,1,0,0,0,1,3,26
5cee5963a68b,8104111001151a:800d94c8c5,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,27
75bf09ca4522,10201b700910a:90089008000b2621,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
